p_id,category_name,p_source_id,title,price,brand,rating,reviews_quantity,cpu,cpu_rate,hertz,cores,gpu,gpu_rate,ram,ram_type,ssd,drive_size,url
4229,notebooks,100011103,Acer Extensa EX2519-P07G NX.EFAER.059 черный,149900,Acer,10,33,intel pentium n3710,49,1600,4,intel hd graphics 405,14,4,DDR3L,false,1000,https://kaspi.kz/shop/p/acer-extensa-ex2519-p07g-nx-efaer-059-chernyi-100011103/?c=750000000
4230,notebooks,1307545,Lenovo S145-15AST 81N30050RK черный,112221,Lenovo,10,54,amd a6-9225,47,2600,2,amd radeon r4,19,4,DDR4,false,500,https://kaspi.kz/shop/p/lenovo-s145-15ast-81n30050rk-chernyi-1307545/?c=750000000
4231,notebooks,100170834,HP 255 G7 6HM04EA черный,99900,HP,10,8,amd a4 9125,47,2300,2,amd radeon r3,18,4,DDR4,false,500,https://kaspi.kz/shop/p/hp-255-g7-6hm04ea-chernyi-100170834/?c=750000000
4232,notebooks,1307555,ASUS X507MA-EJ305T 90NB0HL1-M05420 черный-серебристый,129990,ASUS,9,19,intel pentium n5000,45,1100,4,intel uhd graphics 605,18.5,4,DDR4,false,500,https://kaspi.kz/shop/p/asus-x507ma-ej305t-90nb0hl1-m05420-chernyi-serebristyi-1307555/?c=750000000
4233,notebooks,100055405,ASUS X509UJ-EJ037T 90NB0N72-M00430 серый,199990,ASUS,10,11,intel core i3 7020u,59,2300,2,nvidia geforce mx230,49,4,DDR4,false,1000,https://kaspi.kz/shop/p/asus-x509uj-ej037t-90nb0n72-m00430-seryi-100055405/?c=750000000
4234,notebooks,100104755,Acer Aspire A315-54K NX.HEEER.01F черный,183988,Acer,10,29,intel core i3 6006u,58,2000,2,intel hd graphics 520,18,4,DDR4,false,1000,https://kaspi.kz/shop/p/acer-aspire-a315-54k-nx-heeer-01f-chernyi-100104755/?c=750000000
4236,notebooks,100104481,Acer Nitro 5 AN515-43 NH.Q6NER.003 черный,298890,Acer,10,19,amd ryzen 5 3550h,68,2100,4,nvidia geforce gtx 1050 ti + amd radeon vega 8,54,6,DDR4,true,512,https://kaspi.kz/shop/p/acer-nitro-5-an515-43-nh-q6ner-003-chernyi-100104481/?c=750000000
4237,notebooks,100090352,Lenovo Legion Y7000 81T0001CRK черный,369900,Lenovo,10,15,intel core i5 9300h,68,2400,4,nvidia geforce gtx 1650 + intel uhd graphics 630,68,8,DDR4,true,1128,https://kaspi.kz/shop/p/lenovo-legion-y7000-81t0001crk-chernyi-100090352/?c=750000000
4241,notebooks,100023514,Acer Nitro 5 AN515-54 NH.Q5AER.01P черный,349900,Acer,10,34,intel core i5 9300h,68,2400,4,nvidia geforce gtx 1050 + intel uhd graphics 630,54,8,DDR4,true,512,https://kaspi.kz/shop/p/acer-nitro-5-an515-54-nh-q5aer-01p-chernyi-100023514/?c=750000000
4243,notebooks,1307566,Acer EX2519 NX.EFAER.12A черный,165990,Acer,9,19,intel pentium n3710,49,1600,4,intel hd graphics 405,14,4,DDR3L,false,1000,https://kaspi.kz/shop/p/acer-ex2519-nx-efaer-12a-chernyi-1307566/?c=750000000
4245,notebooks,100051366,HP Pavilion Gaming 15-ec0013ur 8NF73EA черный,338990,HP,10,19,amd ryzen 5 3550h,68,2100,4,nvidia geforce gtx 1650 + amd radeon vega 8,68,8,DDR4,true,512,https://kaspi.kz/shop/p/hp-pavilion-gaming-15-ec0013ur-8nf73ea-chernyi-100051366/?c=750000000
4246,notebooks,1307520,Lenovo Legion Y530 81FV01CMRK черный,323990,Lenovo,10,10,intel core i5 8300h,77,2300,4,nvidia geforce gtx 1050 + intel uhd graphics 630,54,8,DDR4,true,1128,https://kaspi.kz/shop/p/lenovo-legion-y530-81fv01cmrk-chernyi-1307520/?c=750000000
4248,notebooks,100003338,ASUS TUF Gaming FX505DT-AL097 90NR02D1-M07360 черный,328990,ASUS,10,16,amd ryzen 5 3550h,68,2100,4,nvidia geforce gtx 1650 + amd radeon vega 8,68,8,DDR4,true,512,https://kaspi.kz/shop/p/asus-tuf-gaming-fx505dt-al097-90nr02d1-m07360-chernyi-100003338/?c=750000000
4249,notebooks,1307584,Acer EX2519 NX.EFAER.12A черный,165290,Acer,9,13,intel pentium n3710,49,1600,4,intel hd graphics,15,,,false,1000,https://kaspi.kz/shop/p/acer-ex2519-nx-efaer-12a-chernyi-1307584/?c=750000000
4251,notebooks,1307583,Acer Nitro 5 AN515-54-5292 NH.Q59ER.02P черный,349190,Acer,10,20,intel core i5 9300h,68,,,nvidia geforce gtx 1650,68,,,true,512,https://kaspi.kz/shop/p/acer-nitro-5-an515-54-5292-nh-q59er-02p-chernyi-1307583/?c=750000000
4255,notebooks,100081778,Lenovo Ideapad L340-15IWL 81LG007JRK черный,115899,Lenovo,10,5,intel celeron 4205u,49,1800,2,intel uhd graphics 610,19,4,DDR4,false,1000,https://kaspi.kz/shop/p/lenovo-ideapad-l340-15iwl-81lg007jrk-chernyi-100081778/?c=750000000
4256,notebooks,100109950,Acer Aspire 3 A315-54K NX.HEEER.01G черный,169190,Acer,10,6,intel core i3-6006u,58,2000,,intel hd graphics,15,4,,false,1000,https://kaspi.kz/shop/p/acer-aspire-3-a315-54k-nx-heeer-01g-chernyi-100109950/?c=750000000
4258,notebooks,1307403,Lenovo IdeaPad S145-15-IKB 81VD001KRK черный,158382,Lenovo,10,3,intel core i3 7020u,59,2300,2,intel hd graphics 620,20,4,DDR4,false,1000,https://kaspi.kz/shop/p/lenovo-ideapad-s145-15-ikb-81vd001krk-chernyi-1307403/?c=750000000
4260,notebooks,100106207,Acer Nitro 5 AN515-43 NH.Q5XER.004 черный,324900,Acer,10,24,amd ryzen 5 3550h,68,2100,4,amd radeon rx560x,55,8,DDR4,true,512,https://kaspi.kz/shop/p/acer-nitro-5-an515-43-nh-q5xer-004-chernyi-100106207/?c=750000000
4261,notebooks,100170577,HP 255 G7 7DF12EA серый,118900,HP,9,4,amd a6-9225,47,2600,2,amd radeon r4,19,4,DDR4,false,1000,https://kaspi.kz/shop/p/hp-255-g7-7df12ea-seryi-100170577/?c=750000000
4263,notebooks,1307352,Acer Aspire 3 A315-54K NX.HEEER.013 черный,199990,Acer,9,15,intel core i3 7020u,59,2300,2,intel hd graphics 620,20,4,,false,1000,https://kaspi.kz/shop/p/acer-aspire-3-a315-54k-nx-heeer-013-chernyi-1307352/?c=750000000
4265,notebooks,100106045,Acer Nitro 5 AN515-43 NH.Q6NER.004 черный,339190,Acer,10,11,amd ryzen 5 3550h,68,2100,4,nvidia geforce gtx 1050 ti + amd radeon vega 8,54,6,DDR4,true,1512,https://kaspi.kz/shop/p/acer-nitro-5-an515-43-nh-q6ner-004-chernyi-100106045/?c=750000000
4268,notebooks,100029766,Acer Aspire A315-42 NX.HF9ER.02F черный,191900,Acer,10,9,amd ryzen 3 3200u,68,2600,2,amd radeon vega 3,18,4,DDR4,false,1000,https://kaspi.kz/shop/p/acer-aspire-a315-42-nx-hf9er-02f-chernyi-100029766/?c=750000000
4270,notebooks,100018608,ASUS ViviBook X540UA-DM1539 черный-золотистый,170900,ASUS,10,10,intel core i3 7020u,59,2300,2,intel uhd graphics 620,20,4,DDR3,false,500,https://kaspi.kz/shop/p/asus-vivibook-x540ua-dm1539-chernyi-zolotistyi-100018608/?c=750000000
4271,notebooks,100106029,Acer Nitro 5 AN515-43 NH.Q6NER.002 черный,289290,Acer,10,8,amd ryzen 5 3550h,68,2100,4,nvidia geforce gtx 1050 ti + amd radeon vega 8,54,8,DDR4,true,512,https://kaspi.kz/shop/p/acer-nitro-5-an515-43-nh-q6ner-002-chernyi-100106029/?c=750000000
4273,notebooks,100129798,Lenovo IdeaPad S340-14API 81NB0083RK серый,149990,Lenovo,10,2,amd ryzen 3 3200u,68,2600,2,amd radeon vega 3 graphics,35,4,DDR4,false,1000,https://kaspi.kz/shop/p/lenovo-ideapad-s340-14api-81nb0083rk-seryi-100129798/?c=750000000
4277,notebooks,100120340,Acer Aspire 3 A315-55 NX.HEHER.01G черный,239990,Acer,10,3,intel core i3-7020u,59,,,nvidia geforce mx 130,42,4,DDR4,false,1000,https://kaspi.kz/shop/p/acer-aspire-3-a315-55-nx-heher-01g-chernyi-100120340/?c=750000000
4280,notebooks,100132174,Lenovo IdeaPad S340-14API 81NB0086RK серый,188969,Lenovo,10,1,amd ryzen 3 3200u,68,2600,2,amd radeon vega 3,18,4,DDR4,false,1000,https://kaspi.kz/shop/p/lenovo-ideapad-s340-14api-81nb0086rk-seryi-100132174/?c=750000000
4290,notebooks,100080228,Lenovo IdeaPad S340-15API 81NC00BNRK серебристый,149900,Lenovo,0,0,amd ryzen 3 3200u,68,2600,2,amd radeon vega 3,18,4,DDR4,false,1000,https://kaspi.kz/shop/p/lenovo-ideapad-s340-15api-81nc00bnrk-serebristyi-100080228/?c=750000000
4291,notebooks,1307187,Acer Nitro AN515-54 NH.Q59ER.026 черный,419990,Acer,10,70,intel core i5 9300h,68,2400,4,nvidia geforce gtx 1650,68,8,DDR4,true,512,https://kaspi.kz/shop/p/acer-nitro-an515-54-nh-q59er-026-chernyi-1307187/?c=750000000
4304,notebooks,100030790,Lenovo Legion Y540-15IRH 81SY00FDRK черный,449990,Lenovo,10,11,intel core i7-9750h,93,,,intel uhd graphics 630 + nvidia geforce gtx 1650,68,,,true,1000,https://kaspi.kz/shop/p/lenovo-legion-y540-15irh-81sy00fdrk-chernyi-100030790/?c=750000000
4306,notebooks,1306754,HP 15-bs152ur 3XY39EA черный,178990,HP,9,15,intel core i3 5005u,56,2000,2,intel hd graphics 5500,12,4,DDR3L,false,500,https://kaspi.kz/shop/p/hp-15-bs152ur-3xy39ea-chernyi-1306754/?c=750000000
4312,notebooks,100006210,ASUS VivoBook X540UA-DM1539 90NB0HF1-M21590 черный,164869,ASUS,10,8,intel core i3 7020u,59,2300,2,intel hd graphics 620,20,4,DDR3,false,500,https://kaspi.kz/shop/p/asus-vivobook-x540ua-dm1539-90nb0hf1-m21590-chernyi-100006210/?c=750000000
4314,notebooks,1307571,Acer Nitro 5 AN515-54 NH.Q59ER.02L черный,467990,Acer,10,9,intel core i5 9300h,68,2400,4,nvidia geforce gtx 1650,68,8,DDR4,false,1000,https://kaspi.kz/shop/p/acer-nitro-5-an515-54-nh-q59er-02l-chernyi-1307571/?c=750000000
4317,notebooks,1307581,HP 17-ca1022ur 8PN51EA черный,238900,HP,10,0,amd ryzen 3 3200u,68,,,amd radeon vega 3,18,,,true,256,https://kaspi.kz/shop/p/hp-17-ca1022ur-8pn51ea-chernyi-1307581/?c=750000000
4318,notebooks,100023316,HP Gaming Pavilion 15-ec0032ur 8RU37EA черный,414990,HP,10,12,amd ryzen 5 3550h,68,,,amd radeon vega 8 + nvidia gtx 1650,68,8,DDR4,true,1256,https://kaspi.kz/shop/p/hp-gaming-pavilion-15-ec0032ur-8ru37ea-chernyi-100023316/?c=750000000
4328,notebooks,1306732,ASUS X407MA 90NB0HR1-M02910 серый,139900,ASUS,10,2,intel pentium n5000,45,1100,4,intel uhd graphics 605,18.5,4,DDR4,true,128,https://kaspi.kz/shop/p/asus-x407ma-90nb0hr1-m02910-seryi-1306732/?c=750000000
4336,notebooks,1305996,HP Notebook 15-bs155ur 3XY43EA черный,168900,HP,10,17,intel core i3 5005u,56,2000,2,intel hd graphics 5500,12,4,DDR3L,false,500,https://kaspi.kz/shop/p/hp-notebook-15-bs155ur-3xy43ea-chernyi-1305996/?c=750000000
4337,notebooks,100035215,HP Europe 15-BS182UR 4UM08EA черный,131900,HP,0,0,intel pentium gold 4417u,54,2300,2,intel hd graphics 610,18,4,DDR4,false,500,https://kaspi.kz/shop/p/hp-europe-15-bs182ur-4um08ea-chernyi-100035215/?c=750000000
4341,notebooks,100018517,ASUS X507MA-EJ314 90NB0HL1-M07060 серебристый,129900,ASUS,9,15,intel pentium silver n5000,45,1100,4,intel uhd graphics 605,18.5,4,DDR4,false,1000,https://kaspi.kz/shop/p/asus-x507ma-ej314-90nb0hl1-m07060-serebristyi-100018517/?c=750000000
4343,notebooks,1307370,Lenovo V145-15AST 81MT0017RA черный,137000,Acer,9,11,amd a6 9225,47,2600,,amd radeon r4,19,4,DDR4,false,1000,https://kaspi.kz/shop/p/lenovo-v145-15ast-81mt0017ra-chernyi-1307370/?c=750000000
